"","waitlist","program","tools","exp.Rmodeling","gender","primaryeditor","exp.Rgraphics","exp.Radvanced","exp.documentation","exp.Matlab","exp.Github","GitHub","Excel","SQL","RStudio","ggplot2","shell","C","Python","LaTeX","grep","Sweave","XML","Web","dropbox","googledrive","SPSS","Stata","R","number_tools"
"1","No","MS IDSE","R, Excel, SQL, RStudio, ggplot2, Python, Stata, dropbox, google drive (formerly docs)","Confident","Female","Rstudio","Confident","A little","A little","A little","None",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,9
"2","No","Other Masters","R, Excel, RStudio, ggplot2, regular expressions (grep), dropbox, google drive (formerly docs)","Confident","Male","Rstudio","A little","A little","A little","A little","A little",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,7
"3","No","Cert IDSE","R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, regular expressions (grep), Sweave/knitr, XML, Web: html css js, dropbox, google drive (formerly docs)","Expert","Male","Atom","Confident","Confident","Expert","Confident","Confident",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,15
"4","No","MS IDSE","Excel, Python, Web: html css js, dropbox, google drive (formerly docs)","None","Male","Sublime Text","None","None","None","None","None",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5
"5","No","MS IDSE","R, SQL, RStudio, C/C++, Python, dropbox, google drive (formerly docs)","Confident","Male","TextWrangler","Confident","Confident","A little","None","None",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,7
"6","No","MS IDSE","Matlab, Github, RStudio, C/C++, Python, LaTeX","A little","Male","Sublime Text","None","None","A little","A little","A little",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
"7","Yes","MS Stat","Matlab, R, Github, Excel, RStudio, ggplot2, C/C++, Python, dropbox, google drive (formerly docs)","Confident","Male","Rstudio","Confident","A little","None","Confident","Confident",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,10
"8","No","QMSS","Matlab, R, Excel, SQL, RStudio, C/C++, Python, Stata","A little","Unknown","Other","None","A little","A little","A little","None",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,8
"9","No","MS IDSE","Excel, SPSS, Python, Stata, dropbox, google drive (formerly docs)","None","Male","Stata","None","None","None","None","None",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,6
"10","No","MS IDSE","R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, LaTeX, Web: html css js, dropbox, google drive (formerly docs)","Confident","Male","Rstudio","A little","None","Confident","None","A little",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,11
"11","No","MS IDSE","R, RStudio, Python, LaTeX, dropbox, google drive (formerly docs)","Confident","Male","Rstudio","A little","None","Confident","A little","None",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,6
