waitlist,program,tools,exp.Rmodeling,gender,primaryeditor,exp.Rgraphics,exp.Radvanced,exp.documentation,exp.Matlab,exp.Github,GitHub,Excel,SQL,RStudio,ggplot2,shell,C,Python,LaTeX,grep,Sweave,XML,Web,dropbox,googledrive,SPSS,Stata,R,number_tools,experience
No,MS IDSE,"R, Excel, SQL, RStudio, ggplot2, Python, Stata, dropbox, google drive (formerly docs)",Confident,Female,Rstudio,Confident,A little,A little,A little,None,False,True,True,True,True,False,False,True,False,False,False,False,False,True,True,False,True,True,9,7
No,Other Masters,"R, Excel, RStudio, ggplot2, regular expressions (grep), dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,A little,A little,A little,A little,False,True,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,True,7,7
No,Cert IDSE,"R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, regular expressions (grep), Sweave/knitr, XML, Web: html css js, dropbox, google drive (formerly docs)",Expert,Male,Atom,Confident,Confident,Expert,Confident,Confident,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,15,14
No,MS IDSE,"Excel, Python, Web: html css js, dropbox, google drive (formerly docs)",None,Male,Sublime Text,None,None,None,None,None,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,5,0
No,MS IDSE,"R, SQL, RStudio, C/C++, Python, dropbox, google drive (formerly docs)",Confident,Male,TextWrangler,Confident,Confident,A little,None,None,False,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,True,7,7
No,MS IDSE,"Matlab, Github, RStudio, C/C++, Python, LaTeX",A little,Male,Sublime Text,None,None,A little,A little,A little,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,6,4
Yes,MS Stat,"Matlab, R, Github, Excel, RStudio, ggplot2, C/C++, Python, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,Confident,A little,None,Confident,Confident,True,True,False,True,True,False,True,True,False,False,False,False,False,True,True,False,False,True,10,9
No,QMSS,"Matlab, R, Excel, SQL, RStudio, C/C++, Python, Stata",A little,Unknown,Other,None,A little,A little,A little,None,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,8,4
No,MS IDSE,"Excel, SPSS, Python, Stata, dropbox, google drive (formerly docs)",None,Male,Stata,None,None,None,None,None,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,6,0
No,MS IDSE,"R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, LaTeX, Web: html css js, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,None,Confident,None,A little,True,True,True,True,False,True,False,True,True,False,False,False,True,True,True,False,False,True,11,6
